Date,State,TotalSamples,Negative,Positive,total_positive
07-06-2021,Andaman and Nicobar Islands,391273,,7131,14250
08-06-2021,Andaman and Nicobar Islands,392095,,7154,14285
09-06-2021,Andaman and Nicobar Islands,392974,,7168,14322
10-06-2021,Andaman and Nicobar Islands,393692,,7197,14365
11-06-2021,Andaman and Nicobar Islands,394822,,7233,14430
12-06-2021,Andaman and Nicobar Islands,395624,,7243,14476
13-06-2021,Andaman and Nicobar Islands,396534,,7261,14504
14-06-2021,Andaman and Nicobar Islands,397190,,7269,14530
15-06-2021,Andaman and Nicobar Islands,397953,,7280,14549
16-06-2021,Andaman and Nicobar Islands,398852,,7306,14586
17-06-2021,Andaman and Nicobar Islands,399580,,7335,14641
18-06-2021,Andaman and Nicobar Islands,400211,,7363,14698
19-06-2021,Andaman and Nicobar Islands,400997,,7394,14757
20-06-2021,Andaman and Nicobar Islands,401769,,7406,14800
21-06-2021,Andaman and Nicobar Islands,402629,,7415,14821
22-06-2021,Andaman and Nicobar Islands,403616,,7425,14840
23-06-2021,Andaman and Nicobar Islands,404494,,7438,14863
24-06-2021,Andaman and Nicobar Islands,405197,,7440,14878
25-06-2021,Andaman and Nicobar Islands,405887,,7441,14881
26-06-2021,Andaman and Nicobar Islands,406529,,7446,14887
27-06-2021,Andaman and Nicobar Islands,407488,,7455,14901
28-06-2021,Andaman and Nicobar Islands,408220,,7462,14917
29-06-2021,Andaman and Nicobar Islands,409212,,7466,14928
30-06-2021,Andaman and Nicobar Islands,409890,,7467,14933
01-07-2021,Andaman and Nicobar Islands,410741,,7469,14936
02-07-2021,Andaman and Nicobar Islands,411442,,7475,14944
03-07-2021,Andaman and Nicobar Islands,412361,,7478,14953
04-07-2021,Andaman and Nicobar Islands,413316,,7482,14960
05-07-2021,Andaman and Nicobar Islands,414166,,7482,14964
02-04-2020,Andhra Pradesh,1800,1175,132,132
10-04-2020,Andhra Pradesh,6374,6009,365,497
11-04-2020,Andhra Pradesh,6958,6577,381,746
12-04-2020,Andhra Pradesh,6958,6553,405,786
13-04-2020,Andhra Pradesh,8755,8323,432,837
14-04-2020,Andhra Pradesh,10505,10032,473,905
15-04-2020,Andhra Pradesh,11613,11088,525,998
16-04-2020,Andhra Pradesh,20235,19701,534,1059
17-04-2020,Andhra Pradesh,20235,,572,1106
18-04-2020,Andhra Pradesh,21450,20487,603,1175
19-04-2020,Andhra Pradesh,26958,26311,647,1250
20-04-2020,Andhra Pradesh,30733,30011,722,1369
21-04-2020,Andhra Pradesh,35755,34998,757,1479
22-04-2020,Andhra Pradesh,41512,40699,813,1570
23-04-2020,Andhra Pradesh,48032,47139,893,1706
24-04-2020,Andhra Pradesh,54338,53383,955,1848
25-04-2020,Andhra Pradesh,61266,60250,1016,1971
26-04-2020,Andhra Pradesh,68034,66937,1097,2113
27-04-2020,Andhra Pradesh,74551,73374,1177,2274
28-04-2020,Andhra Pradesh,80334,79075,1259,2436
29-04-2020,Andhra Pradesh,88061,86729,1332,2591
30-04-2020,Andhra Pradesh,94558,93155,1403,2735
01-05-2020,Andhra Pradesh,102460,100997,1463,2866
02-05-2020,Andhra Pradesh,108403,106878,1525,2988
03-05-2020,Andhra Pradesh,114937,113354,1583,3108
04-05-2020,Andhra Pradesh,125229,123579,1650,3233
05-05-2020,Andhra Pradesh,133492,131775,1717,3367
06-05-2020,Andhra Pradesh,141274,139497,1777,3494
07-05-2020,Andhra Pradesh,149361,147528,1833,3610
08-05-2020,Andhra Pradesh,156681,154794,1887,3720
09-05-2020,Andhra Pradesh,165069,163139,1930,3817
10-05-2020,Andhra Pradesh,173735,171755,1980,3910
11-05-2020,Andhra Pradesh,181144,179126,2018,3998
12-05-2020,Andhra Pradesh,191874,189823,2051,4069
13-05-2020,Andhra Pradesh,201196,199059,2137,4188
14-05-2020,Andhra Pradesh,210452,208247,2100,4237
15-05-2020,Andhra Pradesh,219490,217183,2157,4257
17-05-2020,Andhra Pradesh,238998,236618,2230,4387
18-05-2020,Andhra Pradesh,248771,246279,2282,4512
19-05-2020,Andhra Pradesh,258450,255961,2339,4621
20-05-2020,Andhra Pradesh,267612,265052,2407,4746
21-05-2020,Andhra Pradesh,275704,273099,2452,4859
22-05-2020,Andhra Pradesh,284119,281452,2514,4966
23-05-2020,Andhra Pradesh,292969,290255,2561,5075
24-05-2020,Andhra Pradesh,304326,301529,2627,5188
25-05-2020,Andhra Pradesh,314566,311680,2671,5298
26-05-2020,Andhra Pradesh,322714,319731,2719,5390
27-05-2020,Andhra Pradesh,332378,329261,2787,5506
28-05-2020,Andhra Pradesh,342236,338991,2841,5628
29-05-2020,Andhra Pradesh,353874,350544,2874,5715
30-05-2020,Andhra Pradesh,363378,359917,2944,5818
31-05-2020,Andhra Pradesh,372748,369177,3045,5989
